number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_event_dim,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
24,0.08679112046957016,2026-07-06 19:24:40.096684,2026-07-06 19:25:07.688737,0 days 00:00:27.592053,128,32,0.057991291920815285,4,3,0.3016039025515336,13,0.0051503327669973845,3,32,2,1,35,5,COMPLETE
25,0.08645555377006531,2026-07-06 19:25:07.705485,2026-07-06 19:25:34.681842,0 days 00:00:26.976357,128,32,0.04580795049621933,4,3,0.28129956572259074,13,0.005787171485291556,3,32,2,1,35,5,COMPLETE
26,0.08549511432647705,2026-07-06 19:25:34.698664,2026-07-06 19:26:02.318970,0 days 00:00:27.620306,128,32,0.015942335066718688,4,3,0.26753610180662996,13,0.0017297544409873688,3,32,2,1,35,5,COMPLETE
27,0.09442532062530518,2026-07-06 19:26:02.336199,2026-07-06 19:26:23.206639,0 days 00:00:20.870440,128,32,0.021371342660130507,4,2,0.10816167622507603,13,0.002249389828200028,3,32,2,0,35,5,COMPLETE
28,0.0871291533112526,2026-07-06 19:26:23.222937,2026-07-06 19:26:50.345797,0 days 00:00:27.122860,128,32,0.0583921590415835,4,3,0.3575770320426643,13,0.0013701510800973686,3,32,2,1,35,5,COMPLETE
29,0.10644832998514175,2026-07-06 19:26:50.362114,2026-07-06 19:27:31.245528,0 days 00:00:40.883414,128,256,0.0005092486012824096,4,3,0.26462719735889284,13,0.0015843553449856641,3,16,2,1,35,5,PRUNED
30,0.10006413608789444,2026-07-06 19:27:31.266057,2026-07-06 19:28:10.492681,0 days 00:00:39.226624,64,128,0.07949869826556594,4,2,0.22042048020993513,27,0.0005157100140024797,3,8,2,1,35,5,PRUNED
31,0.08593670278787613,2026-07-06 19:28:10.516439,2026-07-06 19:28:37.572797,0 days 00:00:27.056358,128,32,0.1531270860041893,4,3,0.3699804286807096,13,0.004410358355489801,3,32,2,1,35,5,COMPLETE
32,0.08548638224601746,2026-07-06 19:28:37.589250,2026-07-06 19:29:04.444066,0 days 00:00:26.854816,128,32,0.13914482241426135,4,3,0.31323928615492985,13,0.004053003870961669,3,32,2,1,35,5,COMPLETE
33,0.0857282504439354,2026-07-06 19:29:04.462057,2026-07-06 19:29:31.295572,0 days 00:00:26.833515,128,32,0.2078797601906355,4,3,0.3211114460085719,13,0.0055061550447454135,3,32,2,1,35,5,COMPLETE
34,0.09806326776742935,2026-07-06 19:29:31.311902,2026-07-06 19:29:48.129029,0 days 00:00:16.817127,64,32,0.19886448768341775,4,3,0.3090098029135637,27,0.0013548703673374914,3,32,2,1,35,7,PRUNED
35,0.15300352871418,2026-07-06 19:29:48.143993,2026-07-06 19:30:05.874951,0 days 00:00:17.730958,128,64,0.22906717731203563,4,3,0.2546370781389638,13,0.006168456672875202,3,32,4,1,180,5,PRUNED
