number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
0,0.20211802423000336,2026-07-06 17:26:00.987144,2026-07-06 17:26:41.417350,0 days 00:00:40.430206,64,64,0.291852008161989,3,0.23815673679605814,27,0.00035763762396944974,1,4,4,1,35,7,COMPLETE
1,inf,2026-07-06 17:26:41.461153,2026-07-06 17:26:50.998250,0 days 00:00:09.537097,512,32,0.19434974952326384,3,0.32380707175110435,27,0.00350668976908996,1,16,4,1,70,7,COMPLETE
2,0.2069297879934311,2026-07-06 17:26:51.016529,2026-07-06 17:27:02.505823,0 days 00:00:11.489294,64,32,0.41163895494390906,2,0.27845522191686917,31,0.0014305501212271464,1,16,4,1,35,5,COMPLETE
3,0.7651171684265137,2026-07-06 17:27:02.522956,2026-07-06 17:27:24.346159,0 days 00:00:21.823203,256,128,0.3285813938142824,4,0.3759621314792384,51,1.5938434604644592e-05,2,8,4,0,70,7,COMPLETE
4,0.24040307104587555,2026-07-06 17:27:24.364100,2026-07-06 17:27:53.253097,0 days 00:00:28.888997,128,256,0.36812940779127545,4,0.0638611079970961,31,0.0006739423525182524,2,16,2,0,180,5,COMPLETE
5,0.3163555860519409,2026-07-06 17:27:53.269728,2026-07-06 17:28:13.210968,0 days 00:00:19.941240,256,64,0.374526061545389,2,0.14621593305583735,27,0.00010681155397985272,3,8,4,0,180,5,COMPLETE
6,0.529899537563324,2026-07-06 17:28:13.228066,2026-07-06 17:28:33.371606,0 days 00:00:20.143540,128,128,0.11064386357544315,4,0.39791512970814935,31,4.199840739184541e-05,1,8,2,0,35,5,COMPLETE
7,0.5104449391365051,2026-07-06 17:28:33.396235,2026-07-06 17:29:01.495709,0 days 00:00:28.099474,128,128,0.03024048018544978,4,0.38139464821825203,31,2.694702095461319e-05,2,8,8,0,180,3,COMPLETE
8,0.5147382616996765,2026-07-06 17:29:01.512929,2026-07-06 17:29:21.008914,0 days 00:00:19.495985,128,128,0.03839956196147254,3,0.4198591726758106,13,7.463254342348514e-05,3,4,2,0,180,5,COMPLETE
9,inf,2026-07-06 17:29:21.030326,2026-07-06 17:29:54.230761,0 days 00:00:33.200435,512,256,0.2609338345171348,2,0.3136205753132437,27,0.0006257461452214479,3,32,2,0,35,3,COMPLETE
10,0.2250009924173355,2026-07-06 17:29:54.290887,2026-07-06 17:30:22.316177,0 days 00:00:28.025290,64,64,0.49436162477214607,1,0.4945385192608316,13,0.0002372635773245538,2,4,8,1,22,7,COMPLETE
11,0.2000219076871872,2026-07-06 17:30:22.339013,2026-07-06 17:30:38.911416,0 days 00:00:16.572403,64,32,0.4877405929148006,2,0.21383452267750686,51,0.004632770961105234,1,16,4,1,35,7,COMPLETE
12,0.21114425361156464,2026-07-06 17:30:38.937368,2026-07-06 17:30:52.152609,0 days 00:00:13.215241,64,64,0.495438815865179,3,0.2075012269600647,51,0.007701131349642765,1,4,4,1,35,7,COMPLETE
13,0.19728071987628937,2026-07-06 17:30:52.170164,2026-07-06 17:31:10.563226,0 days 00:00:18.393062,64,32,0.2451225834448564,1,0.18649085908383878,51,0.008195510499112511,1,32,4,1,35,7,COMPLETE
14,0.19910815358161926,2026-07-06 17:31:10.589313,2026-07-06 17:31:29.821369,0 days 00:00:19.232056,64,32,0.2007710363594014,1,0.13205508605369382,51,0.009652783544552235,1,32,4,1,22,7,COMPLETE
15,0.19887372851371765,2026-07-06 17:31:29.838622,2026-07-06 17:31:48.891245,0 days 00:00:19.052623,64,32,0.1924663423873314,1,0.006676165536159656,51,0.009748679636913608,1,32,4,1,22,7,COMPLETE
16,0.20899927616119385,2026-07-06 17:31:48.911710,2026-07-06 17:32:06.423834,0 days 00:00:17.512124,64,32,0.16965191562692608,1,0.04615496121903604,51,0.0021861291349327783,2,32,8,1,22,7,COMPLETE
17,0.20554648339748383,2026-07-06 17:32:06.440747,2026-07-06 17:32:19.091030,0 days 00:00:12.650283,64,32,0.11515921123191217,1,0.011729901398089798,51,0.0017840928897245234,1,32,4,1,22,3,COMPLETE
18,0.18180857598781586,2026-07-06 17:32:19.108250,2026-07-06 17:32:35.783817,0 days 00:00:16.675567,256,32,0.24047548046549724,1,0.11505076176380427,51,0.004580655587098274,2,32,4,1,22,7,COMPLETE
19,0.17975404858589172,2026-07-06 17:32:35.809267,2026-07-06 17:32:52.502551,0 days 00:00:16.693284,256,32,0.25239099578749236,1,0.14249273049803746,51,0.0037123681088722287,2,32,8,1,70,7,COMPLETE
20,0.20133548974990845,2026-07-06 17:32:52.530508,2026-07-06 17:32:58.594750,0 days 00:00:06.064242,256,256,0.13164985345142569,2,0.10697016526599275,13,0.003408799460990057,2,32,8,1,70,3,COMPLETE
21,0.18062034249305725,2026-07-06 17:32:58.618298,2026-07-06 17:33:15.309482,0 days 00:00:16.691184,256,32,0.25062397973831896,1,0.16298864896351375,51,0.005105993076580473,2,32,8,1,70,7,COMPLETE
22,0.23592135310173035,2026-07-06 17:33:15.330766,2026-07-06 17:33:18.898348,0 days 00:00:03.567582,256,32,0.26883235146882445,1,0.0936753935949129,51,0.0010761327448685209,2,32,8,1,70,7,PRUNED
23,0.1798698902130127,2026-07-06 17:33:18.917654,2026-07-06 17:33:34.961302,0 days 00:00:16.043648,256,32,0.31564734899431335,1,0.15669918869509267,51,0.0045739733393776495,2,32,8,1,70,7,COMPLETE
24,0.18215711414813995,2026-07-06 17:33:34.978281,2026-07-06 17:33:51.094216,0 days 00:00:16.115935,256,32,0.3166404747130224,1,0.16617024769302682,51,0.002455118747755398,2,32,8,1,70,7,COMPLETE
25,0.19132091104984283,2026-07-06 17:33:51.122424,2026-07-06 17:33:59.483348,0 days 00:00:08.360924,256,32,0.42929646056228044,2,0.2605538810652907,51,0.0052422168737824145,3,32,8,1,70,7,COMPLETE
26,0.25353747606277466,2026-07-06 17:33:59.500060,2026-07-06 17:34:02.764489,0 days 00:00:03.264429,256,32,0.34717796236686754,1,0.06645270356483905,51,0.0007503323755112222,2,32,8,1,70,7,PRUNED
27,0.18138419091701508,2026-07-06 17:34:02.779311,2026-07-06 17:34:19.665963,0 days 00:00:16.886652,256,32,0.29202911089629646,1,0.16974970176191942,51,0.00278197225927482,2,32,8,1,70,7,COMPLETE
28,0.19296757876873016,2026-07-06 17:34:19.682974,2026-07-06 17:34:34.472159,0 days 00:00:14.789185,256,256,0.2215617336638654,2,0.21091409100286596,13,0.0012952803612871888,3,32,8,1,70,3,COMPLETE
29,,2026-07-06 17:34:34.495101,2026-07-06 17:34:36.732121,0 days 00:00:02.237020,512,64,0.28890035877159204,1,0.24598725797062282,27,0.00031414526942719317,2,4,8,1,70,7,PRUNED
30,0.22919216752052307,2026-07-06 17:34:36.747372,2026-07-06 17:34:41.617172,0 days 00:00:04.869800,256,32,0.42083541776882494,2,0.14682234577442957,51,0.005954816905563133,2,32,8,1,70,7,PRUNED
31,0.18091177940368652,2026-07-06 17:34:41.640913,2026-07-06 17:34:57.859404,0 days 00:00:16.218491,256,32,0.30128091385387223,1,0.17318574682969481,51,0.003146276227685588,2,32,8,1,70,7,COMPLETE
32,0.18020063638687134,2026-07-06 17:34:57.877601,2026-07-06 17:35:13.747264,0 days 00:00:15.869663,256,32,0.3028449757769308,1,0.17380827630989765,51,0.0035855550608320207,2,32,8,1,70,7,COMPLETE
33,0.21182605624198914,2026-07-06 17:35:13.766388,2026-07-06 17:35:18.641248,0 days 00:00:04.874860,256,32,0.15189701638117895,1,0.2332588776814333,51,0.004230429131143441,2,32,8,1,70,7,PRUNED
34,0.24757498502731323,2026-07-06 17:35:18.667215,2026-07-06 17:35:22.096010,0 days 00:00:03.428795,256,32,0.36296730346444744,1,0.2869948611774217,51,0.002003577726125762,2,16,8,1,70,7,PRUNED
