number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
35,,2026-07-06 17:35:22.111445,2026-07-06 17:35:24.383459,0 days 00:00:02.272014,512,32,0.39711191683935776,1,0.09478707751494234,31,0.0010032383619107568,2,32,8,1,70,7,PRUNED
36,0.17873619496822357,2026-07-06 17:35:24.398994,2026-07-06 17:35:36.782772,0 days 00:00:12.383778,256,32,0.33157505058759384,2,0.13413677333143775,27,0.0063484758647924695,2,16,8,1,70,5,COMPLETE
37,0.1918899416923523,2026-07-06 17:35:36.807893,2026-07-06 17:35:43.306045,0 days 00:00:06.498152,256,128,0.3124437828155953,3,0.1304560315651275,27,0.006327751447729258,3,16,8,1,70,5,COMPLETE
38,0.19595035910606384,2026-07-06 17:35:43.327129,2026-07-06 17:35:58.014971,0 days 00:00:14.687842,256,256,0.33997364082562054,2,0.051640911404251005,27,0.0015679696635811876,2,16,2,0,70,5,COMPLETE
39,0.22180651128292084,2026-07-06 17:35:58.034497,2026-07-06 17:36:16.531199,0 days 00:00:18.496702,128,32,0.4536819398862711,2,0.07613907586844028,27,0.0033371102151440873,2,16,8,1,180,5,PRUNED
40,0.46153971552848816,2026-07-06 17:36:16.550054,2026-07-06 17:36:23.212890,0 days 00:00:06.662836,256,128,0.3892135871309438,2,0.19085102415128385,27,0.0005053954702933726,3,8,2,0,70,5,PRUNED
41,0.20193524658679962,2026-07-06 17:36:23.235421,2026-07-06 17:36:29.161430,0 days 00:00:05.926009,256,32,0.2853743084270809,1,0.15133128558734948,31,0.00666804243418142,2,16,8,1,70,5,COMPLETE
42,0.2102094441652298,2026-07-06 17:36:29.179060,2026-07-06 17:36:38.399763,0 days 00:00:09.220703,256,32,0.260752649027621,3,0.12965212968098422,27,0.004077235125068901,2,8,8,1,70,5,COMPLETE
43,0.3869565427303314,2026-07-06 17:36:38.423406,2026-07-06 17:36:41.819317,0 days 00:00:03.395911,256,32,0.33177005048157693,1,0.19584463217354042,51,1.1462015457642444e-05,2,16,8,1,70,7,PRUNED
44,,2026-07-06 17:36:41.842227,2026-07-06 17:36:45.354128,0 days 00:00:03.511901,512,64,0.22227522988913917,2,0.16025440192221585,13,0.002431479774745525,2,32,8,1,180,5,PRUNED
45,0.32340213656425476,2026-07-06 17:36:45.383267,2026-07-06 17:36:50.612146,0 days 00:00:05.228879,128,32,0.35122884906844254,1,0.23289417889233588,31,0.005573770080108723,2,4,8,0,70,7,PRUNED
46,0.24683192372322083,2026-07-06 17:36:50.630942,2026-07-06 17:36:54.067831,0 days 00:00:03.436889,256,32,0.27330715123503213,1,0.12097056127182768,51,0.007224616352546424,2,8,8,1,70,3,PRUNED
47,0.19237755239009857,2026-07-06 17:36:54.084089,2026-07-06 17:36:59.746840,0 days 00:00:05.662751,256,128,0.24486515663338693,2,0.08399203458681834,27,0.003354954617031999,2,16,2,1,35,7,COMPLETE
48,0.35191965103149414,2026-07-06 17:36:59.765075,2026-07-06 17:37:03.286835,0 days 00:00:03.521760,256,32,0.07933668302107952,3,0.3366382857427167,51,0.009768579017609684,2,32,8,0,70,7,PRUNED
49,0.22269463539123535,2026-07-06 17:37:03.307063,2026-07-06 17:37:07.995100,0 days 00:00:04.688037,128,64,0.3210245740999327,1,0.21992970328451636,51,0.0014046911678123305,1,32,8,1,180,5,PRUNED
