number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
0,0.0770479366183281,2026-07-06 17:51:57.155924,2026-07-06 17:52:11.311275,0 days 00:00:14.155351,64,64,0.291852008161989,3,0.23815673679605814,27,0.00035763762396944974,1,4,4,1,35,7,COMPLETE
1,inf,2026-07-06 17:52:11.339563,2026-07-06 17:52:21.818453,0 days 00:00:10.478890,512,32,0.19434974952326384,3,0.32380707175110435,27,0.00350668976908996,1,16,4,1,70,7,COMPLETE
2,0.07505878061056137,2026-07-06 17:52:21.836700,2026-07-06 17:52:42.129563,0 days 00:00:20.292863,64,32,0.41163895494390906,2,0.27845522191686917,31,0.0014305501212271464,1,16,4,1,35,5,COMPLETE
3,0.5923169851303101,2026-07-06 17:52:42.159309,2026-07-06 17:53:05.568576,0 days 00:00:23.409267,256,128,0.3285813938142824,4,0.3759621314792384,51,1.5938434604644592e-05,2,8,4,0,70,7,COMPLETE
4,0.07744912058115005,2026-07-06 17:53:05.606888,2026-07-06 17:53:39.396270,0 days 00:00:33.789382,128,256,0.36812940779127545,4,0.0638611079970961,31,0.0006739423525182524,2,16,2,0,180,5,COMPLETE
5,0.15073162317276,2026-07-06 17:53:39.412896,2026-07-06 17:54:01.937771,0 days 00:00:22.524875,256,64,0.374526061545389,2,0.14621593305583735,27,0.00010681155397985272,3,8,4,0,180,5,COMPLETE
6,0.3513050079345703,2026-07-06 17:54:01.954595,2026-07-06 17:54:22.546202,0 days 00:00:20.591607,128,128,0.11064386357544315,4,0.39791512970814935,31,4.199840739184541e-05,1,8,2,0,35,5,COMPLETE
7,0.3106022775173187,2026-07-06 17:54:22.563316,2026-07-06 17:54:48.847445,0 days 00:00:26.284129,128,128,0.03024048018544978,4,0.38139464821825203,31,2.694702095461319e-05,2,8,8,0,180,3,COMPLETE
8,0.33834490180015564,2026-07-06 17:54:48.864380,2026-07-06 17:55:28.314748,0 days 00:00:39.450368,128,128,0.03839956196147254,3,0.4198591726758106,13,7.463254342348514e-05,3,4,2,0,180,5,COMPLETE
9,inf,2026-07-06 17:55:28.331906,2026-07-06 17:56:02.231437,0 days 00:00:33.899531,512,256,0.2609338345171348,2,0.3136205753132437,27,0.0006257461452214479,3,32,2,0,35,3,COMPLETE
10,0.07965636998414993,2026-07-06 17:56:02.283332,2026-07-06 17:56:25.437906,0 days 00:00:23.154574,64,32,0.49436162477214607,1,0.4953795939149921,13,0.005094586577780977,2,16,8,1,22,5,COMPLETE
11,0.07581930607557297,2026-07-06 17:56:25.454250,2026-07-06 17:56:45.260387,0 days 00:00:19.806137,64,64,0.4877405929148006,2,0.21383452267750686,51,0.000593920369221968,1,4,4,1,35,7,COMPLETE
12,0.07323469966650009,2026-07-06 17:56:45.279116,2026-07-06 17:57:15.413654,0 days 00:00:30.134538,64,32,0.496967359676423,1,0.20418060408655114,51,0.0015392109544501828,1,4,4,1,35,7,COMPLETE
13,0.07683835178613663,2026-07-06 17:57:15.437903,2026-07-06 17:57:26.886364,0 days 00:00:11.448461,64,32,0.4205140762350744,1,0.17858026776769928,51,0.0019437910960201981,1,32,4,1,35,7,COMPLETE
14,0.082349494099617,2026-07-06 17:57:26.902797,2026-07-06 17:57:38.397335,0 days 00:00:11.494538,64,32,0.4337093289833396,1,0.08219240194901596,51,0.009079639057292843,1,4,4,1,22,3,PRUNED
15,0.07696990668773651,2026-07-06 17:57:38.412172,2026-07-06 17:57:48.207654,0 days 00:00:09.795482,64,32,0.4339989645811576,2,0.26203112992379657,31,0.0019487471157994022,1,16,4,1,35,5,COMPLETE
16,0.08816568553447723,2026-07-06 17:57:48.223744,2026-07-06 17:57:56.413816,0 days 00:00:08.190072,64,32,0.48488228196387917,1,0.1374506892689108,31,0.0002752648893438722,2,4,8,1,35,7,PRUNED
17,0.07345934212207794,2026-07-06 17:57:56.428675,2026-07-06 17:58:10.498407,0 days 00:00:14.069732,64,32,0.23508482333784075,2,0.30451680563750855,51,0.0017490799547902386,1,16,4,1,35,5,COMPLETE
18,0.23080497980117798,2026-07-06 17:58:10.517295,2026-07-06 17:58:14.689850,0 days 00:00:04.172555,256,32,0.18395941970545332,1,0.20485768791467107,51,0.00016224524927890146,2,32,4,1,22,7,PRUNED
19,,2026-07-06 17:58:14.707991,2026-07-06 17:58:17.853517,0 days 00:00:03.145526,512,256,0.22126619418938173,2,0.32051532949269945,51,0.0011986157465200494,1,16,8,1,70,3,PRUNED
20,0.07782864570617676,2026-07-06 17:58:17.872007,2026-07-06 17:58:34.433207,0 days 00:00:16.561200,64,32,0.11868904493238813,3,0.4644854476629633,51,0.003945147615756473,1,4,4,1,35,7,COMPLETE
21,0.0732414722442627,2026-07-06 17:58:34.458396,2026-07-06 17:58:49.450849,0 days 00:00:14.992453,64,32,0.38090826166934383,2,0.2821332064303992,51,0.0013604832156070947,1,16,4,1,35,5,COMPLETE
22,0.0731116309762001,2026-07-06 17:58:49.467926,2026-07-06 17:59:04.206835,0 days 00:00:14.738909,64,32,0.32842653727336557,2,0.28674836234858914,51,0.0010761327448685209,1,16,4,1,35,5,COMPLETE
23,0.07552795857191086,2026-07-06 17:59:04.231788,2026-07-06 17:59:19.180209,0 days 00:00:14.948421,64,32,0.3309916102290908,1,0.1257917986742068,51,0.0007970349445702332,1,16,4,1,35,5,COMPLETE
