number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
24,0.07377327978610992,2026-07-06 17:59:19.197226,2026-07-06 17:59:33.738004,0 days 00:00:14.540778,64,32,0.3720666466089279,2,0.2589444738450068,51,0.00028333647107785123,1,16,4,1,35,5,COMPLETE
25,0.07628549635410309,2026-07-06 17:59:33.756288,2026-07-06 17:59:51.637491,0 days 00:00:17.881203,64,32,0.3170948449420638,3,0.023051599093238506,13,0.002639086845210039,1,16,4,1,35,5,COMPLETE
26,0.08063740283250809,2026-07-06 17:59:51.654339,2026-07-06 18:00:00.006530,0 days 00:00:08.352191,64,32,0.4660213687643512,1,0.34587985771567337,51,0.006896937067353883,2,4,4,1,35,5,PRUNED
27,,2026-07-06 18:00:00.026954,2026-07-06 18:00:02.931261,0 days 00:00:02.904307,512,64,0.27628516654885854,2,0.18454727283746442,51,0.0012189485994306105,1,32,4,1,70,5,PRUNED
28,0.07294604927301407,2026-07-06 18:00:02.948597,2026-07-06 18:00:16.370472,0 days 00:00:13.421875,256,256,0.3927789307860739,1,0.28176144684915994,51,0.00038924644873525164,1,16,2,1,22,3,COMPLETE
29,0.08392062038183212,2026-07-06 18:00:16.394461,2026-07-06 18:00:20.050385,0 days 00:00:03.655924,256,256,0.45159884713337645,1,0.24551392552252602,51,0.0004404828276231618,1,4,2,1,22,3,PRUNED
30,0.08291535824537277,2026-07-06 18:00:20.065772,2026-07-06 18:00:25.079389,0 days 00:00:05.013617,256,256,0.29154695912256295,1,0.2142810690566721,13,0.0002458295675126138,2,4,2,1,22,3,PRUNED
31,0.09125697612762451,2026-07-06 18:00:25.096927,2026-07-06 18:00:29.316510,0 days 00:00:04.219583,256,256,0.39542903296073467,1,0.2833332954537029,51,0.0009463267822600615,1,16,2,1,22,3,PRUNED
32,0.07269619405269623,2026-07-06 18:00:29.330730,2026-07-06 18:00:38.737219,0 days 00:00:09.406489,256,256,0.3527057647115047,3,0.2279246507068139,51,0.00037681002211338056,1,16,2,1,22,7,COMPLETE
33,0.07963328063488007,2026-07-06 18:00:38.772811,2026-07-06 18:00:45.878150,0 days 00:00:07.105339,256,256,0.34722021979792017,3,0.2346316691490013,27,0.00042100824377659673,1,16,2,1,22,7,COMPLETE
34,0.07092822343111038,2026-07-06 18:00:45.895115,2026-07-06 18:00:55.287020,0 days 00:00:09.391905,256,256,0.3222005482423507,3,0.18550313066719137,51,0.0001385051157761346,1,16,2,1,22,7,COMPLETE
35,0.07276353240013123,2026-07-06 18:00:55.310138,2026-07-06 18:01:04.579933,0 days 00:00:09.269795,256,256,0.30618235264836213,3,0.34709697438275633,51,0.00015855774857991068,1,16,2,1,22,7,COMPLETE
36,0.07245923578739166,2026-07-06 18:01:04.596540,2026-07-06 18:01:13.614239,0 days 00:00:09.017699,256,256,0.30167540112372065,3,0.35461878451775775,51,0.00014918032378859937,1,16,2,1,22,7,COMPLETE
37,0.08517458289861679,2026-07-06 18:01:13.634932,2026-07-06 18:01:18.857227,0 days 00:00:05.222295,256,256,0.24718773216165818,3,0.34766685263521035,27,0.000113215169014503,1,16,2,1,22,7,PRUNED
38,0.6707375049591064,2026-07-06 18:01:18.873455,2026-07-06 18:01:24.347221,0 days 00:00:05.473766,256,256,0.2848344555257848,3,0.4354540553723595,51,0.00016570748707177158,1,16,2,0,22,7,PRUNED
39,0.08757531642913818,2026-07-06 18:01:24.363754,2026-07-06 18:01:30.908227,0 days 00:00:06.544473,256,256,0.1901083527511592,4,0.3435668171583209,51,5.2924291912650157e-05,1,8,2,1,22,7,PRUNED
40,1.7837904691696167,2026-07-06 18:01:30.924468,2026-07-06 18:01:39.568717,0 days 00:00:08.644249,256,256,0.3083580505357172,3,0.37211650663424223,27,1.4655308132182719e-05,2,16,2,0,22,7,PRUNED
41,0.07117430120706558,2026-07-06 18:01:39.596911,2026-07-06 18:01:48.948869,0 days 00:00:09.351958,256,256,0.3518306891293119,3,0.1703760495689789,51,0.0001564560391553784,1,16,2,1,22,7,COMPLETE
42,0.07133925706148148,2026-07-06 18:01:48.966611,2026-07-06 18:01:58.596146,0 days 00:00:09.629535,256,256,0.35355474851782515,3,0.1024048686402763,51,0.00015548875149120237,1,16,2,1,22,7,COMPLETE
43,0.072017140686512,2026-07-06 18:01:58.613607,2026-07-06 18:02:08.164737,0 days 00:00:09.551130,256,256,0.36639527659927934,3,0.10661139857438506,51,7.750838081752171e-05,1,16,2,1,22,7,COMPLETE
44,0.08411476761102676,2026-07-06 18:02:08.181638,2026-07-06 18:02:14.362368,0 days 00:00:06.180730,256,256,0.3515495068745757,4,0.10546351489803268,51,8.367989376316575e-05,1,16,2,1,22,7,PRUNED
45,0.29506251215934753,2026-07-06 18:02:14.380227,2026-07-06 18:02:19.976262,0 days 00:00:05.596035,128,128,0.40479002725251173,3,0.03162320368951377,13,2.9410877936707994e-05,1,8,2,0,180,7,PRUNED
46,0.085675448179245,2026-07-06 18:02:19.994620,2026-07-06 18:02:25.137531,0 days 00:00:05.142911,256,256,0.2685790218242443,3,0.1616236267855705,31,5.985413122746056e-05,1,16,2,1,22,7,PRUNED
47,0.09290356934070587,2026-07-06 18:02:25.152137,2026-07-06 18:02:29.040475,0 days 00:00:03.888338,256,64,0.3591488011690442,4,0.06942165875133502,51,0.0001109754876937693,1,16,2,1,22,7,PRUNED
48,1.6636654138565063,2026-07-06 18:02:29.056443,2026-07-06 18:02:34.225092,0 days 00:00:05.168649,256,256,0.33544486026211146,3,0.10446240654812139,51,3.646021845347369e-05,1,16,2,0,22,7,PRUNED
49,0.08785653114318848,2026-07-06 18:02:34.240019,2026-07-06 18:02:51.776743,0 days 00:00:17.536724,128,256,0.30157202201642097,3,0.051739260903947266,51,0.0002203680862089214,3,32,2,1,70,7,PRUNED
