pair,horizon,regressor,coef_std,fold_stability,merged_with
EURUSD,1,evt_EUR_ECB_Main_Refinancing_Operations_Rate,0.1154139077518879,1.0,evt_EUR_ECB_Press_Conference
EURUSD,1,evt_EUR_ECB_Monetary_Policy_Meeting_Accounts,-0.00962106124610865,1.0,
EURUSD,1,evt_EUR_ECBs_De_Guindos_speech,0.006091183939429772,1.0,
EURUSD,1,evt_EUR_ECBs_President_Draghi_speech,0.008314364473590812,1.0,
EURUSD,1,evt_EUR_Eurogroup_Meeting,-0.0049727634887195725,1.0,
EURUSD,1,evt_EUR_Gross_Domestic_Product_QoQ,0.007564164797420896,1.0,evt_EUR_Gross_Domestic_Product_YoY
EURUSD,1,evt_EUR_Harmonized_Index_of_Consumer_Prices_YoY,0.011693593997504201,1.0,
EURUSD,1,evt_EUR_IFO_Business_Climate,0.011094263878010534,1.0,
EURUSD,1,evt_EUR_Retail_Sales_YoY,0.019713559672548654,1.0,
EURUSD,1,evt_EUR_ZEW_Survey_Economic_Sentiment,0.004003336830720217,1.0,evt_EUR_ZEW_Survey_Current_Situation
EURUSD,1,evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY,0.04106522607690562,1.0,evt_USD_Consumer_Price_Index_MoM; evt_USD_Consumer_Price_Index_YoY; evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM
EURUSD,1,evt_USD_FOMC_Economic_Projections,0.03556444226984239,1.0,
EURUSD,1,evt_USD_FOMC_Minutes,0.01662128839115296,1.0,
EURUSD,1,evt_USD_FOMC_Press_Conference,0.008115708009495544,1.0,
EURUSD,1,evt_USD_Fed_Interest_Rate_Decision,0.04395737672408477,1.0,
EURUSD,1,evt_USD_Feds_Bullard_speech,0.008311182910210529,1.0,
EURUSD,1,evt_USD_Feds_Powell_speech,0.01342616191736378,1.0,
EURUSD,1,evt_USD_Former_Feds_Chair_Bernanke_speech,0.007667038797959485,1.0,
EURUSD,1,evt_USD_Goods_Trade_Balance,0.00602460830640401,1.0,
EURUSD,1,evt_USD_Initial_Jobless_Claims,0.05057678698056816,1.0,
EURUSD,1,evt_USD_Jackson_Hole_Symposium,0.003854662649085395,1.0,
EURUSD,1,evt_USD_Retail_Sales_ex_Autos_MoM,0.019270407316533632,1.0,evt_USD_Retail_Sales_MoM
EURUSD,1,evt_USD_S_P_Global_Manufacturing_PMI,0.0216331305381783,1.0,
EURUSD,1,evt_USD_S_P_Global_Services_PMI,0.012520812211534824,1.0,evt_USD_S_P_Global_Composite_PMI
EURUSD,1,evt_USD_Unemployment_Rate,0.08057526571247274,1.0,evt_USD_Average_Hourly_Earnings_MoM; evt_USD_Average_Hourly_Earnings_YoY; evt_USD_Average_Weekly_Hours; evt_USD_Labor_Force_Participation_Rate; evt_USD_Nonfarm_Payrolls
EURUSD,1,evt_EUR_Core_Harmonized_Index_of_Consumer_Prices_MoM,-0.003524946451418922,0.9,
EURUSD,1,evt_EUR_ECBs_Nagel_speech,-0.001812651505122155,0.9,
EURUSD,1,evt_EUR_ECBs_President_Lagarde_speech,0.0036162581397495203,0.9,
EURUSD,1,evt_EUR_European_Commission_releases_Economic_Growth_Forecasts,0.00408201833689414,0.9,
EURUSD,1,evt_EUR_HCOB_Manufacturing_PMI,0.009903948535136039,0.9,
EURUSD,1,evt_EUR_Unemployment_Rate,0.003093540302974329,0.9,
EURUSD,1,evt_USD_EIA_Crude_Oil_Stocks_Change,0.004348380437569006,0.9,
EURUSD,1,evt_USD_Fed_Monetary_Policy_Statement,0.00855689988981522,0.9,
EURUSD,1,evt_USD_Feds_Chair_Yellen_speech,0.0034314682926172763,0.9,
EURUSD,1,evt_USD_Gross_Domestic_Product_Price_Index,0.0060058154749312274,0.9,evt_USD_Core_Personal_Consumption_Expenditures_QoQ; evt_USD_Gross_Domestic_Product_Annualized; evt_USD_Personal_Consumption_Expenditures_Prices_QoQ
EURUSD,1,evt_EUR_G20_Meeting,-0.0018678318099496596,0.8,
EURUSD,1,evt_EUR_German_Buba_President_Weidmann_speech,0.0021910212149772977,0.8,
EURUSD,1,evt_EUR_HCOB_Services_PMI,0.0016724978910718222,0.8,evt_EUR_HCOB_Composite_PMI
EURUSD,1,evt_USD_IMF_Meeting,0.0009162500177890363,0.8,
EURUSD,1,evt_USD_Michigan_Consumer_Sentiment_Index,0.0002535272120300832,0.6,
EURUSD,1,evt_USD_Core_Personal_Consumption_Expenditures_Price_Index_YoY,0.0010774864756797106,0.5,evt_USD_Core_Personal_Consumption_Expenditures_Price_Index_MoM
EURUSD,5,evt_EUR_ECB_Main_Refinancing_Operations_Rate,0.03735627715643598,1.0,evt_EUR_ECB_Press_Conference
EURUSD,5,evt_EUR_G20_Meeting,-0.0046559225653458195,1.0,
EURUSD,5,evt_EUR_Harmonized_Index_of_Consumer_Prices_YoY,0.014989382651463936,1.0,
EURUSD,5,evt_USD_EIA_Crude_Oil_Stocks_Change,0.006590508962419333,1.0,
EURUSD,5,evt_USD_Fed_Interest_Rate_Decision,0.03556034063454958,1.0,
EURUSD,5,evt_USD_Feds_Beige_Book,0.0060982906773901285,1.0,
EURUSD,5,evt_USD_Michigan_Consumer_Sentiment_Index,-0.014636867227584381,1.0,
EURUSD,5,evt_USD_S_P_Global_Manufacturing_PMI,0.010519573996085524,1.0,
EURUSD,5,evt_USD_Unemployment_Rate,0.01777077563942894,1.0,evt_USD_Average_Hourly_Earnings_MoM; evt_USD_Average_Hourly_Earnings_YoY; evt_USD_Average_Weekly_Hours; evt_USD_Labor_Force_Participation_Rate; evt_USD_Nonfarm_Payrolls
EURUSD,5,evt_EUR_ECB_Monetary_Policy_Statement,0.0016117581818189794,0.9,
EURUSD,5,evt_USD_ISM_Manufacturing_Prices_Paid,0.006746669757177681,0.9,evt_USD_ISM_Manufacturing_PMI
EURUSD,5,evt_EUR_European_Commission_releases_Economic_Growth_Forecasts,0.002899964202471038,0.8,
EURUSD,5,evt_EUR_Gross_Domestic_Product_w_d_a_YoY,0.0033674044711656647,0.8,
EURUSD,5,evt_USD_FOMC_Press_Conference,0.003948859614812189,0.8,
EURUSD,5,evt_EUR_ECB_Monetary_Policy_Meeting_Accounts,-0.0029055122407936488,0.7,
EURUSD,5,evt_USD_FOMC_Economic_Projections,0.002872862412356593,0.7,
EURUSD,5,evt_EUR_Consumer_Price_Index_MoM,0.0012890997137317828,0.5,evt_EUR_Consumer_Price_Index_YoY
GBPUSD,1,evt_GBP_BoE_Interest_Rate_Decision,0.02510667144329477,1.0,evt_GBP_BoE_Asset_Purchase_Facility
GBPUSD,1,evt_GBP_BoE_Minutes,0.030871680662806218,1.0,
GBPUSD,1,evt_GBP_BoE_Monetary_Policy_Report,0.0327893588014422,1.0,
GBPUSD,1,evt_GBP_BoEs_Governor_Carney_speech,0.026241886781131128,1.0,
GBPUSD,1,evt_GBP_Consumer_Inflation_Expectations,0.011968116755309767,1.0,
GBPUSD,1,evt_GBP_Core_Consumer_Price_Index_YoY,0.016842593006735615,1.0,evt_GBP_Consumer_Price_Index_MoM; evt_GBP_Consumer_Price_Index_YoY
GBPUSD,1,evt_GBP_Employment_Change_3M,0.011461321444450513,1.0,
GBPUSD,1,evt_GBP_Gross_Domestic_Product_YoY,0.005412116950872957,1.0,evt_GBP_Gross_Domestic_Product_QoQ
GBPUSD,1,evt_GBP_ILO_Unemployment_Rate_3M,0.0144342047242561,1.0,evt_GBP_Average_Earnings_Excluding_Bonus_3Mo_Yr; evt_GBP_Average_Earnings_Including_Bonus_3Mo_Yr; evt_GBP_Claimant_Count_Change
GBPUSD,1,evt_GBP_NIESR_GDP_Estimate_3M,0.0254028840859122,1.0,evt_GBP_Industrial_Production_MoM; evt_GBP_Manufacturing_Production_MoM
GBPUSD,1,evt_GBP_Retail_Sales_ex_Fuel_YoY,0.01113684815300147,1.0,evt_GBP_Retail_Sales_MoM; evt_GBP_Retail_Sales_YoY
GBPUSD,1,evt_GBP_S_P_Global_Manufacturing_PMI,0.022615567927761263,1.0,
