horizon,split,MSE,MAE,QLIKE
1,train,0.22332878836364833,0.3500874743243311,0.14531901465144445
1,test,0.3057235651449739,0.41819815387044273,0.2003086785191669
5,train,0.10363554981387328,0.24565677778833048,0.05691914690856732
5,test,0.1339484050147968,0.28917793037544415,0.0710222209468572
22,train,0.09877303528704505,0.22899665970572333,0.05996157596799628
22,test,0.11397138044411302,0.27545843742304826,0.05759891216279033
