,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.3140112212725661,0.08076655796300052,-3.8878866351642207,0.000101120832834444,-0.4723107660353138,-0.15571167650981838
RV_d,0.08413909744835978,0.01755940513739863,4.791682678882863,1.6538833584285878e-06,0.04972329578911086,0.11855489910760869
RV_w,0.32694021789118743,0.07352422061325625,4.446700898890465,8.719911656052379e-06,0.18283539349782774,0.47104504228454713
RV_m,0.39682358933235196,0.12789737036473584,3.1026719955281044,0.0019178206993598955,0.1461493497000893,0.6474978289646146
