,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.12207164612734983,0.027378607997223196,-4.4586505690768,8.247725032226321e-06,-0.1757327317487476,-0.06841056050595207
RV_d,0.15251267260566176,0.014397539654709586,10.592967705824186,3.2124273986156207e-26,0.12429401341644372,0.1807313317948798
RV_w,0.4384748069581071,0.060281658374949317,7.273768154001549,3.495957929108247e-13,0.3203249276148591,0.5566246863013551
RV_m,0.32726957862499284,0.06542979998856903,5.001842871018538,5.678486506507213e-07,0.1990295271317383,0.4555096301182474
