,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.0810313153373467,0.019223899021817217,-4.215134257903883,2.496296400008634e-05,-0.11870946506254322,-0.04335316561215018
RV_d,0.2406088629873507,0.020715921165931954,11.614683269940237,3.4707213483616076e-31,0.20000640359555308,0.28121132237914837
RV_w,0.4650868831767539,0.039166592067305606,11.874581336500455,1.6043524334730287e-32,0.3883217733276627,0.5418519930258451
RV_m,0.23999371643565312,0.0355170031925006,6.7571499525142285,1.4073252016920677e-11,0.17038166933955784,0.3096057635317484
