number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_head_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_pct_start,params_revin,params_seq_len,user_attrs_best_epoch,user_attrs_setting,state
0,0.09449930489063263,2026-07-06 15:35:24.546771,2026-07-06 15:35:37.170634,0 days 00:00:12.623863,128,True,0.39215506607056133,0.04844719796243041,32,0.0004828553942317002,2,0.28085809751582574,0,35,23.0,lstm_optuna_trial_0,COMPLETE
1,0.10553280264139175,2026-07-06 15:35:37.198963,2026-07-06 15:35:48.316339,0 days 00:00:11.117376,256,False,0.3360644675482562,0.3217424031718399,128,8.002134786698833e-05,1,0.1505270742248396,1,180,22.0,lstm_optuna_trial_1,COMPLETE
2,0.09895276029904683,2026-07-06 15:35:48.332266,2026-07-06 15:35:55.892940,0 days 00:00:07.560674,128,True,0.15257538606122972,0.15377173267570787,32,0.00014658802620363435,3,0.23289769949485928,0,70,11.0,lstm_optuna_trial_2,COMPLETE
3,inf,2026-07-06 15:35:55.912065,2026-07-06 15:36:03.010718,0 days 00:00:07.098653,512,True,0.3962473665578538,0.13706683887676363,32,0.00017855487144747845,2,0.3326505781930913,1,70,-1.0,lstm_optuna_trial_3,COMPLETE
4,0.09270660827557246,2026-07-06 15:36:03.027131,2026-07-06 15:36:11.530460,0 days 00:00:08.503329,128,True,0.4399684608973296,0.2480050259840607,32,0.0002476275636254163,3,0.4280008107793333,1,22,12.0,lstm_optuna_trial_4,COMPLETE
5,inf,2026-07-06 15:36:11.554592,2026-07-06 15:38:16.822766,0 days 00:02:05.268174,512,True,0.42899472392380444,0.14837012185162118,256,6.310149649514489e-05,3,0.1269927553156731,0,180,-1.0,lstm_optuna_trial_5,COMPLETE
6,0.09476939837137859,2026-07-06 15:38:16.840306,2026-07-06 15:38:55.285056,0 days 00:00:38.444750,128,True,0.43420585280412244,0.208209803005783,256,1.7789669149290467e-05,2,0.44494124192269113,1,70,23.0,lstm_optuna_trial_6,COMPLETE
7,0.09952486306428909,2026-07-06 15:38:55.302457,2026-07-06 15:39:15.886174,0 days 00:00:20.583717,64,False,0.36812940779127545,0.0638611079970961,128,0.0001788067761507069,2,0.4583891681688176,0,180,24.0,lstm_optuna_trial_7,COMPLETE
8,0.09244223364761897,2026-07-06 15:39:15.902468,2026-07-06 15:39:28.633541,0 days 00:00:12.731073,64,True,0.33572662936687375,0.2936292837896844,128,6.3557089537986e-05,1,0.39540253227193,1,22,15.0,lstm_optuna_trial_8,COMPLETE
9,0.09032095223665237,2026-07-06 15:39:28.658125,2026-07-06 15:39:33.364735,0 days 00:00:04.706610,128,True,0.1358804134928534,0.3148421311727019,64,0.00423460488896987,1,0.35122113640584396,1,22,5.0,lstm_optuna_trial_9,COMPLETE
