date,ln_RV,RQ
2010-01-04,-0.8606575883065672,0.26751109254955396
2010-01-05,-1.0024499359088934,0.29383433982885887
2010-01-06,-0.7295999288781334,0.6231326285950375
2010-01-07,-1.0702813106751432,0.14129190029913738
2010-01-08,-0.5470898604405812,1.5213632667312103
2010-01-11,-0.8446104455355575,0.3490922783946956
2010-01-12,-0.9608478168746803,0.325046031983875
2010-01-13,-1.0874971081322524,0.18555195076988115
2010-01-14,-1.2750745867713127,0.14556047290862334
2010-01-15,-1.0434744210122782,0.35477899534704394
2010-01-18,-1.9665656385895744,0.023713031176089337
2010-01-19,-1.226641326141237,0.13883912818513394
2010-01-20,-0.6046425270304481,2.143397869650321
2010-01-21,-0.46624640274647816,1.7817822994828862
2010-01-22,-0.8472385464401825,0.22958931319773623
2010-01-25,-1.2466244988174502,0.11606807116949766
2010-01-26,-1.087925622727651,0.14289675618302775
2010-01-27,-0.9950614648393804,0.1628875904458641
2010-01-28,-0.9842815780832891,0.29589981479161337
2010-01-29,-1.0207773826927373,0.18986125858833416
2010-02-01,-1.2958401903441743,0.12286257585278151
2010-02-02,-1.447656854112923,0.08977058339878906
2010-02-03,-1.5771202588032536,0.049429234805615015
2010-02-04,-1.0848791490017948,0.21855814584633068
2010-02-05,-0.21692721011071936,1.5155376915225078
2010-02-08,-0.972207497693055,0.16752704769842547
2010-02-09,-0.3228717382115641,3.782891537680978
2010-02-10,-0.6534752400895996,0.7040032008168071
2010-02-11,-0.7018885047647583,0.4938150062418874
2010-02-12,-0.4351608736636141,1.5357384400429073
2010-02-15,-1.7627265681543967,0.03710614100285918
2010-02-16,-0.9814297701810019,0.3162557292008442
2010-02-17,-0.9803658296898666,0.2809894563507109
2010-02-18,-0.3684243044120426,1.9502146007887076
2010-02-19,-0.48447839614751226,0.5542656791300885
2010-02-22,-1.0137533799135086,0.1852933114805539
2010-02-23,-0.6748338119039624,0.47839323494657454
2010-02-24,-0.8431206588984355,0.487470367384445
2010-02-25,-0.7076642640675714,0.42253715116976476
2010-02-26,-0.7346540386335033,0.46908112646201294
2010-03-01,-0.27844474816593473,2.837849994400529
2010-03-02,-0.3381297134283873,1.205278267754404
2010-03-03,-0.6993938246340422,0.5474913623308206
2010-03-04,-0.825997234803297,0.9438217065174669
2010-03-05,-1.114325568904707,0.43928902467028513
2010-03-08,-1.3942464782589363,0.08835463896950194
2010-03-09,-1.3120665596413317,0.1256012007867473
2010-03-10,-1.3517409672363834,0.09650630733625987
2010-03-11,-1.1851007029219784,0.6691352319788331
2010-03-12,-1.2165572953115726,0.1598053016961983
2010-03-15,-1.483944524721272,0.060789673578169376
2010-03-16,-1.088378404303202,0.6334167731868356
2010-03-17,-1.4958947896762858,0.11095349694365379
2010-03-18,-1.0288917045319677,0.3757203229603328
2010-03-19,-1.4767588467720922,0.0857190766845303
2010-03-22,-1.2415886946351988,0.1865250571893265
2010-03-23,-1.0590190957166359,0.2630521743685523
2010-03-24,-0.6207554014827981,1.126280622262113
2010-03-25,-0.6897949457785522,0.6913129191054762
2010-03-26,-0.9437850060832127,0.24424964846714647
2010-03-29,-1.0716332708167047,0.30779705679271974
2010-03-30,-1.204843330122357,0.15745041146350186
2010-03-31,-1.1228424315749532,0.17788840114173216
2010-04-01,-0.9468483473520588,0.5624945006189283
2010-04-02,-1.7351398219902294,0.06987858860013262
2010-04-05,-1.3546145847675268,0.13527119620055475
2010-04-06,-1.2665324162412472,0.1269638570065556
2010-04-07,-1.4134016387509676,0.09484351850179566
2010-04-08,-1.4093875809606289,0.08281163910936103
2010-04-09,-0.8219350499103563,0.5006651193032299
2010-04-12,-0.7969530411909853,0.30660135278045036
2010-04-13,-1.1295621402218035,0.16030398091757228
2010-04-14,-1.191430737081638,0.17110462415078928
2010-04-15,-1.348893505372523,0.10688366559768664
2010-04-16,-1.0343774053454073,0.26875977700322723
2010-04-19,-1.4034493624767042,0.0707060974955298
2010-04-20,-1.4162922925862533,0.08653763698720827
2010-04-21,-1.4778870553671395,0.08411368696580482
2010-04-22,-1.1758953495550186,0.1818878258487669
2010-04-23,-0.3953742643073836,2.0337469060893767
2010-04-26,-1.0009556527778365,0.19930110202340598
2010-04-27,-0.5375712905100737,0.8746147684114267
2010-04-28,-0.023539442058989325,7.8912628652066905
2010-04-29,-0.8185603620908175,0.3196399829867875
2010-04-30,-0.7744602855905516,0.518933291178408
2010-05-03,-0.9506244535331152,0.2913637779836341
2010-05-04,-0.9092747718790377,0.19371300057858645
2010-05-05,-0.3074773033050784,0.6849431076150975
2010-05-06,0.370657763717267,3.37462768225928
2010-05-07,0.9114448185200854,7.556195817956379
2010-05-10,0.8902091586712769,8.739552456029482
2010-05-11,0.2233455071979834,1.8842604602573354
2010-05-12,-0.13578718304590856,1.1048016964637462
2010-05-13,-0.45235142299628023,0.6405151327665168
2010-05-14,-0.009771306759515704,1.4748278808265975
2010-05-17,0.31731286238658785,2.687955047970137
2010-05-18,0.3268673917375877,2.820091841611636
2010-05-19,0.7149173894536437,11.495413525666399
2010-05-20,0.6405938620465462,4.939455954790636
2010-05-21,0.6406307299502304,6.114978792642823
2010-05-24,-0.09258972709056301,1.5748373548355776
2010-05-25,0.0319992470748984,1.3327215194747295
2010-05-26,-0.06425432955767806,1.2516934606065289
2010-05-27,0.17530533733428785,2.210499370784781
2010-05-28,0.1548528685820387,7.6085079453897375
2010-05-31,-0.9804858999986471,0.1860334946147901
2010-06-01,-0.10546540296590105,2.5897922559002375
2010-06-02,-0.10471469592233944,0.965843416349822
2010-06-03,-0.47316192284668723,0.6896053361706035
2010-06-04,0.14064762541402087,5.9034116403685095
2010-06-07,-0.20477437729782497,0.9482360033219213
2010-06-08,-0.3468267803456558,0.7221442807726018
2010-06-09,-0.6337949503370102,0.33630651062172645
2010-06-10,-0.15153449557406637,0.8971064368526924
2010-06-11,-0.5915221442537264,0.4505973703275896
2010-06-14,-0.40461620145061267,1.7384476336438466
2010-06-15,-0.5592337773080945,0.8629439218833042
2010-06-16,-0.7890109337044264,0.24630045362960895
2010-06-17,-0.620531254638332,0.6624122566930815
2010-06-18,-1.1412115126558315,0.11948323529829444
2010-06-21,-0.4341110434508729,1.3264188538205106
2010-06-22,-0.6431892365892083,0.536779525131168
2010-06-23,-0.7558886508727753,0.495296033256364
2010-06-24,-0.6403503918399064,1.6826052322730591
2010-06-25,-0.9015040619837258,0.2564049148642943
2010-06-28,-1.067705119351385,0.1809860592099253
2010-06-29,-0.7751107932801405,0.5859123320318919
2010-06-30,-0.5237337896938257,1.10393964770417
2010-07-01,-0.2740482024268276,1.0089717651441412
2010-07-02,-0.7328092441790853,0.569231011205438
2010-07-05,-1.8114719653813913,0.037769904073370976
2010-07-06,-0.5946325547988447,1.3287984231754861
2010-07-07,-0.8629056797375046,0.2143714575224827
2010-07-08,-0.8647738222376162,0.7726426259602046
2010-07-09,-1.1912081969912989,0.17386582203048742
2010-07-12,-1.3626764809459941,0.08651228249805652
2010-07-13,-0.7264066063285408,0.7140503019343595
2010-07-14,-0.7880120435991864,0.48190644137529876
2010-07-15,-0.653634648475058,0.5193431370949214
2010-07-16,-0.7713320624420051,0.36332675315207474
2010-07-19,-0.8381183488042598,0.4103688022860028
2010-07-20,-0.7851898290698808,0.308330302656074
2010-07-21,-0.5839232707958726,1.1150966015794888
2010-07-22,-0.7897964672102489,0.355795017085641
2010-07-23,-0.16429307968640608,1.441221828815706
2010-07-26,-0.6515743766177604,0.752870399779958
2010-07-27,-0.6442924577947008,0.5402133601822543
2010-07-28,-1.185930502562331,0.12038742973484665
2010-07-29,-1.1392702642775814,0.25399338265429705
2010-07-30,-0.8867845935511381,0.24657935202143436
2010-08-02,-1.118911070568442,0.31560343508286465
2010-08-03,-1.2384899786523695,0.14670253630771074
2010-08-04,-1.1218472758609677,0.19595342400473345
2010-08-05,-1.027109598252845,0.29133619710267894
2010-08-06,-0.9496631376544904,0.49569595187715215
2010-08-09,-1.6680461182600286,0.07497738202238723
2010-08-10,-0.3871925759718252,4.318594522458255
2010-08-11,-0.40377843701982524,1.1736112796695628
2010-08-12,-0.2905065405705166,0.9760394385015774
2010-08-13,-0.5120081153227867,1.6648220181452162
2010-08-16,-0.6403922801455701,0.50479290682201
2010-08-17,-0.8759811732620667,0.28106748453881014
2010-08-18,-0.8741196236714666,0.2671083345542955
2010-08-19,-0.5311333016214042,0.5827947054261846
2010-08-20,-0.7163814003488659,0.6192998790257501
2010-08-23,-1.0784791387966517,0.1432755756022709
2010-08-24,-0.6086148147746018,0.9068849287743536
2010-08-25,-0.7213674692128668,0.5160121524212474
2010-08-26,-0.5297930892288111,0.6814992147693394
2010-08-27,-0.8918323274331307,0.35679060270483526
2010-08-30,-1.358172384570716,0.0899620948446568
2010-08-31,-1.0158018128636137,0.21343523311548804
2010-09-01,-0.8610945510290192,0.5528694801962384
