date,lnRV
1/12/2012,-0.906420816
1/13/2012,-0.386109619
1/16/2012,-1.272364464
1/17/2012,-0.664253846
1/18/2012,-0.442773823
1/19/2012,-0.969875948
1/20/2012,-1.006885787
1/23/2012,-0.976759927
1/24/2012,-0.88220599
1/25/2012,-0.573936521
1/26/2012,-0.993255681
1/27/2012,-0.571950619
1/30/2012,-1.247413335
1/31/2012,-0.989831815
2/1/2012,-0.6260537
2/2/2012,-0.60133065
2/3/2012,-0.52308628
2/6/2012,-0.884585942
2/7/2012,-0.702856794
2/8/2012,-1.083861848
2/9/2012,-0.641410308
2/10/2012,-1.246552811
2/13/2012,-1.221162638
2/14/2012,-0.97791936
2/15/2012,-0.78629887
2/16/2012,-0.695579708
2/17/2012,-1.360598115
2/20/2012,-1.270911973
2/21/2012,-0.367340957
2/22/2012,-1.306085459
2/23/2012,-1.016937915
2/24/2012,-1.442026928
2/27/2012,-1.217103568
2/28/2012,-1.135447246
2/29/2012,-0.939137966
3/1/2012,-1.097418792
3/2/2012,-1.271639871
3/5/2012,-1.08461417
3/6/2012,-1.523175176
3/7/2012,-1.513789175
3/8/2012,-1.100189312
3/9/2012,-1.17216462
3/12/2012,-1.428226045
3/13/2012,-1.161410266
3/14/2012,-0.686867006
3/15/2012,-0.852312677
3/16/2012,-0.923951976
3/19/2012,-1.531573663
3/20/2012,-1.387151258
3/21/2012,-1.361378731
3/22/2012,-1.216303228
3/23/2012,-1.177591208
3/26/2012,-1.050936784
3/27/2012,-1.555775477
3/28/2012,-1.440813649
3/29/2012,-1.363289418
3/30/2012,-1.111883555
4/2/2012,-1.596847742
4/3/2012,-0.911418492
4/4/2012,-1.130022179
4/5/2012,-1.537121047
4/6/2012,-1.665525288
4/10/2012,-1.123583997
4/11/2012,-1.252040195
4/12/2012,-1.399363215
4/13/2012,-1.552296516
4/16/2012,-0.998224835
4/17/2012,-1.49417787
4/18/2012,-1.145846019
4/19/2012,-1.313468438
4/20/2012,-1.434102089
4/23/2012,-1.820979542
4/24/2012,-1.835203716
4/25/2012,-1.12150046
4/26/2012,-1.675008207
4/27/2012,-1.389132682
4/30/2012,-2.319490966
5/1/2012,-1.569935706
5/2/2012,-1.284262772
5/3/2012,-1.874348269
5/4/2012,-1.8583483
5/7/2012,-1.120824126
5/8/2012,-1.495264604
5/9/2012,-1.353457938
5/10/2012,-1.676941136
5/11/2012,-1.682317827
5/14/2012,-1.62044044
5/15/2012,-1.3010843
5/16/2012,-0.991213504
5/17/2012,-1.068569982
5/18/2012,-0.938745814
5/21/2012,-1.293524365
5/22/2012,-1.179974368
5/23/2012,-0.874700447
5/24/2012,-0.777139034
5/25/2012,-1.117554305
5/28/2012,-1.570446311
5/29/2012,-1.227335957
5/30/2012,-1.043927584
5/31/2012,-1.039011519
6/1/2012,-0.396870296
6/5/2012,-0.963736082
6/6/2012,-0.968247647
6/7/2012,-0.802736865
6/8/2012,-1.14049257
6/11/2012,-0.919402705
6/12/2012,-0.81985672
6/13/2012,-1.045931545
6/14/2012,-1.151202412
6/15/2012,-1.410927505
6/18/2012,-0.759439396
6/19/2012,-1.170684825
6/20/2012,-0.611343623
6/21/2012,-0.859197166
6/22/2012,-1.316692355
6/25/2012,-1.698462233
6/26/2012,-1.152374081
6/27/2012,-1.768290546
6/28/2012,-1.235975095
6/29/2012,0.051665373
7/2/2012,-1.551224391
7/3/2012,-1.774280234
7/4/2012,-1.867336368
7/5/2012,-0.892085222
7/6/2012,-1.492894279
7/9/2012,-1.480160323
7/10/2012,-1.650854553
7/11/2012,-1.39569696
7/12/2012,-1.53214327
7/13/2012,-1.183632698
7/16/2012,-1.440537512
7/17/2012,-0.96784475
7/18/2012,-1.233681735
7/19/2012,-1.164627507
7/20/2012,-1.150700933
7/23/2012,-1.209847632
7/24/2012,-1.386229921
7/25/2012,-0.889684597
7/26/2012,-0.44452309
7/27/2012,-0.206264395
7/30/2012,-1.467979727
7/31/2012,-1.07944048
8/1/2012,-0.974025701
8/2/2012,0.173587978
8/3/2012,-0.71988057
8/6/2012,-1.075114576
8/7/2012,-1.699763999
8/8/2012,-1.770282559
8/9/2012,-1.440266121
8/10/2012,-1.589713326
8/13/2012,-1.685149041
8/14/2012,-1.623889955
8/15/2012,-2.080662951
8/16/2012,-1.939665609
8/17/2012,-1.667989103
8/20/2012,-1.641032887
