number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_event_dim,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
27,0.0804939791560173,2026-07-06 20:06:15.342863,2026-07-06 20:06:27.894350,0 days 00:00:12.551487,128,32,0.04226081904888404,8,2,0.22866587494803153,31,0.00534696891192216,1,32,8,1,70,5,COMPLETE
28,0.08487642556428909,2026-07-06 20:06:27.911785,2026-07-06 20:07:04.218977,0 days 00:00:36.307192,64,256,0.11149254690397464,8,3,0.400141501965906,31,0.0066863336926751196,2,8,2,1,22,7,COMPLETE
29,0.0817381888628006,2026-07-06 20:07:04.235730,2026-07-06 20:07:22.548561,0 days 00:00:18.312831,64,128,0.18336938712696782,4,3,0.4637942281955834,27,0.0002765656346853215,1,4,4,1,35,5,COMPLETE
30,0.07461166381835938,2026-07-06 20:07:22.565535,2026-07-06 20:07:31.958170,0 days 00:00:09.392635,256,32,0.1327348044574151,8,2,0.3531290078492769,27,0.003648016337196062,1,4,4,1,35,7,COMPLETE
31,0.06929581612348557,2026-07-06 20:07:31.974451,2026-07-06 20:07:40.490303,0 days 00:00:08.515852,256,32,0.16703721398635973,8,2,0.3842269189895728,31,0.005890247947452252,1,4,8,1,35,5,COMPLETE
32,0.06800579279661179,2026-07-06 20:07:40.506858,2026-07-06 20:07:48.944260,0 days 00:00:08.437402,256,32,0.2078797601906355,8,2,0.32163663849968005,31,0.006324064957581275,1,4,8,1,35,5,COMPLETE
33,0.06915684044361115,2026-07-06 20:07:48.960981,2026-07-06 20:07:56.574598,0 days 00:00:07.613617,256,32,0.034092805266040055,8,2,0.2728417302125795,31,0.0013755930398247707,1,4,8,1,35,5,COMPLETE
34,0.15203024446964264,2026-07-06 20:07:56.601642,2026-07-06 20:08:18.399192,0 days 00:00:21.797550,256,256,0.3772268410251085,8,2,0.22059066671346633,31,0.0037164149310109458,1,4,8,1,180,5,PRUNED
35,0.07704230397939682,2026-07-06 20:08:18.413340,2026-07-06 20:08:28.398654,0 days 00:00:09.985314,256,32,0.21940731689546067,4,4,0.19372813363275157,13,0.009924839789168331,1,16,8,0,35,5,COMPLETE
36,,2026-07-06 20:08:28.414303,2026-07-06 20:08:33.680177,0 days 00:00:05.265874,512,64,0.09187492525521505,16,1,0.32323622479147746,31,0.0024296237124852116,1,4,8,1,180,7,PRUNED
37,0.08321975916624069,2026-07-06 20:08:33.713808,2026-07-06 20:09:55.664952,0 days 00:01:21.951144,256,256,0.30109583286947816,8,2,0.42043499359533343,51,0.006973604791198286,2,16,2,1,70,3,COMPLETE
38,0.10512188076972961,2026-07-06 20:09:55.689787,2026-07-06 20:10:00.066859,0 days 00:00:04.377072,256,32,0.2650441965630758,4,2,0.2583425568509039,31,0.0011439421849649258,1,8,4,0,35,5,PRUNED
39,0.07638966292142868,2026-07-06 20:10:00.088222,2026-07-06 20:10:20.313271,0 days 00:00:20.225049,128,64,0.04753363759589032,16,3,0.31450738874296125,13,0.0004415214895392177,2,32,8,1,22,3,COMPLETE
40,0.8988242149353027,2026-07-06 20:10:20.330117,2026-07-06 20:10:26.345446,0 days 00:00:06.015329,256,32,0.3563738551473547,8,3,0.15784676411065574,51,4.8372735238728214e-05,1,4,8,0,180,5,PRUNED
41,0.07595212757587433,2026-07-06 20:10:26.360069,2026-07-06 20:10:33.957519,0 days 00:00:07.597450,256,32,0.02456429632534434,8,2,0.28063299589068674,31,0.00045859727996454947,1,4,8,1,35,5,COMPLETE
42,0.07271553575992584,2026-07-06 20:10:33.973740,2026-07-06 20:10:42.357001,0 days 00:00:08.383261,256,32,0.022863727267210768,8,2,0.24900549115927845,31,0.0007121904573138845,1,4,8,1,35,5,COMPLETE
43,0.06972166150808334,2026-07-06 20:10:42.373190,2026-07-06 20:10:50.790172,0 days 00:00:08.416982,256,32,0.04702509833257839,8,2,0.364520904127139,31,0.0012123169718236638,1,4,8,1,35,5,COMPLETE
44,0.06822052597999573,2026-07-06 20:10:50.806941,2026-07-06 20:10:58.467871,0 days 00:00:07.660930,256,32,0.23710456638134797,8,2,0.28776280736468357,31,0.002058216207250633,1,4,8,1,35,5,COMPLETE
45,0.07338662445545197,2026-07-06 20:10:58.485139,2026-07-06 20:11:09.495114,0 days 00:00:11.009975,256,32,0.23790057313873492,16,1,0.3484475603012184,31,0.00406310364251042,1,16,8,1,35,3,COMPLETE
46,,2026-07-06 20:11:09.511478,2026-07-06 20:11:12.665253,0 days 00:00:03.153775,512,64,0.2535580267051741,8,2,0.3013588980268258,13,0.0019424262363783884,1,4,8,1,35,7,PRUNED
47,0.10678935050964355,2026-07-06 20:11:12.689355,2026-07-06 20:11:22.508473,0 days 00:00:09.819118,64,32,0.49349360557859184,8,2,0.44273973848636294,31,0.0070741981942820595,1,4,8,1,70,5,PRUNED
48,0.07271787524223328,2026-07-06 20:11:22.527374,2026-07-06 20:11:33.000428,0 days 00:00:10.473054,256,128,0.29831273776353867,8,1,0.284974903452138,51,0.003239101456255134,1,4,2,1,35,5,COMPLETE
49,0.08125612139701843,2026-07-06 20:11:33.017497,2026-07-06 20:11:44.119319,0 days 00:00:11.101822,128,256,0.19153178739649007,8,2,0.4002964707439682,31,0.0020530058628148986,1,8,8,1,35,5,COMPLETE
50,0.07109721004962921,2026-07-06 20:11:44.137382,2026-07-06 20:11:56.265482,0 days 00:00:12.128100,256,32,0.3303404716232588,16,3,0.33299571775541137,31,0.006822842599906208,2,32,4,1,22,5,COMPLETE
51,0.07228578627109528,2026-07-06 20:11:56.282189,2026-07-06 20:12:04.752931,0 days 00:00:08.470742,256,32,0.14451848789805152,8,2,0.27392775136610287,31,0.0007623890397617153,1,4,8,1,35,5,COMPLETE
52,0.06953197717666626,2026-07-06 20:12:04.769979,2026-07-06 20:12:12.437028,0 days 00:00:07.667049,256,32,0.00013602696155202987,8,2,0.19930338092017247,31,0.004399045606253569,1,4,8,1,35,5,COMPLETE
53,0.0701354593038559,2026-07-06 20:12:12.453532,2026-07-06 20:12:20.786127,0 days 00:00:08.332595,256,32,0.06443217976468227,8,2,0.24353187949726662,31,0.0010950510471009571,1,4,8,1,35,5,COMPLETE
54,0.06948749721050262,2026-07-06 20:12:20.802156,2026-07-06 20:12:29.239721,0 days 00:00:08.437565,256,32,0.09362807548605515,8,2,0.3569944545033682,31,0.002887567379358663,1,4,8,1,35,5,COMPLETE
55,0.06684236228466034,2026-07-06 20:12:29.258756,2026-07-06 20:12:36.863848,0 days 00:00:07.605092,256,32,0.2332348360983411,8,2,0.32275773648706885,31,0.0077943332090161695,1,4,8,1,35,5,COMPLETE
56,0.17076720297336578,2026-07-06 20:12:36.887069,2026-07-06 20:12:41.417267,0 days 00:00:04.530198,256,32,0.22992446322735258,8,2,0.31721739565657253,27,0.008078165576892775,1,4,8,0,35,3,PRUNED
57,0.14294075965881348,2026-07-06 20:12:41.435867,2026-07-06 20:12:46.545889,0 days 00:00:05.110022,256,32,0.2659443741381207,4,2,0.38644184586084757,31,0.004966181263692829,1,4,8,1,180,5,PRUNED
58,,2026-07-06 20:12:46.560541,2026-07-06 20:12:50.995189,0 days 00:00:04.434648,512,128,0.20631438637630678,8,1,0.33914944059350277,31,0.009216648494382,3,16,8,1,35,5,PRUNED
59,0.08237115293741226,2026-07-06 20:12:51.021308,2026-07-06 20:13:06.665320,0 days 00:00:15.644012,64,32,0.284697075624029,8,3,0.29138550446642864,31,0.007281902268508317,1,4,8,1,35,5,COMPLETE
60,0.08541027456521988,2026-07-06 20:13:06.681717,2026-07-06 20:13:18.549391,0 days 00:00:11.867674,256,32,0.15567459716058513,8,2,0.32596666838490984,13,0.005533123132998746,1,4,2,1,70,7,COMPLETE
61,0.06824186444282532,2026-07-06 20:13:18.565760,2026-07-06 20:13:26.234538,0 days 00:00:07.668778,256,32,0.2403966111342369,8,2,0.26537599873278916,31,0.0022818862442880376,1,4,8,1,35,5,COMPLETE
62,0.06824488192796707,2026-07-06 20:13:26.250596,2026-07-06 20:13:34.569164,0 days 00:00:08.318568,256,32,0.24642985205321497,8,2,0.3081447837026682,31,0.002347064439407206,1,4,8,1,35,5,COMPLETE
63,0.0682649314403534,2026-07-06 20:13:34.585345,2026-07-06 20:13:43.058276,0 days 00:00:08.472931,256,32,0.2424724562180228,8,2,0.3046488644406737,31,0.002567172666490039,1,4,8,1,35,5,COMPLETE
64,0.06886543333530426,2026-07-06 20:13:43.075440,2026-07-06 20:13:50.714952,0 days 00:00:07.639512,256,32,0.31734072884491543,8,2,0.25492051051797393,31,0.0016953937528111998,1,4,8,1,35,5,COMPLETE
65,0.06925790011882782,2026-07-06 20:13:50.732484,2026-07-06 20:13:59.091221,0 days 00:00:08.358737,256,32,0.24933318739435475,8,2,0.22814547550545083,31,0.004162776706772726,1,4,8,1,35,5,COMPLETE
66,0.07712342590093613,2026-07-06 20:13:59.107478,2026-07-06 20:14:14.551321,0 days 00:00:15.443843,128,64,0.2725465272770074,8,2,0.3119762018278317,31,0.0021274747087912547,1,32,8,1,35,5,COMPLETE
67,0.07488764822483063,2026-07-06 20:14:14.567173,2026-07-06 20:14:24.318676,0 days 00:00:09.751503,256,32,0.21093224942371003,8,2,0.3679067927031898,27,0.0034449264985667713,1,8,4,1,22,5,COMPLETE
68,0.07251130044460297,2026-07-06 20:14:24.340709,2026-07-06 20:14:34.397734,0 days 00:00:10.057025,256,32,0.19725809234946928,8,2,0.07977517785556712,51,0.008181474972982708,1,4,8,0,35,5,COMPLETE
69,0.07400314509868622,2026-07-06 20:14:34.414351,2026-07-06 20:14:47.401265,0 days 00:00:12.986914,256,256,0.23061137649392988,4,2,0.28605462021427397,31,0.0015368716021763467,1,4,8,1,35,5,COMPLETE
70,0.07141782343387604,2026-07-06 20:14:47.417901,2026-07-06 20:14:55.606094,0 days 00:00:08.188193,256,32,0.22402801364112368,8,2,0.2637244925581788,31,0.0008890150407804843,1,4,8,1,35,5,COMPLETE
71,0.06823382526636124,2026-07-06 20:14:55.626515,2026-07-06 20:15:03.263070,0 days 00:00:07.636555,256,32,0.2449762547246997,8,2,0.29982630731774096,31,0.0023706828308303366,1,4,8,1,35,5,COMPLETE
72,0.06856853514909744,2026-07-06 20:15:03.279953,2026-07-06 20:15:11.678192,0 days 00:00:08.398239,256,32,0.2835954168349815,8,2,0.34416039724078495,31,0.0021562989423091422,1,4,8,1,35,5,COMPLETE
73,0.06856933981180191,2026-07-06 20:15:11.695841,2026-07-06 20:15:20.000478,0 days 00:00:08.304637,256,32,0.26011899611607286,8,2,0.32016332983314305,31,0.005993841998709818,1,4,8,1,35,5,COMPLETE
74,0.0687999352812767,2026-07-06 20:15:20.016676,2026-07-06 20:15:27.632900,0 days 00:00:07.616224,256,32,0.18203808797264862,8,2,0.2998548013638238,31,0.0031313570092862644,1,4,8,1,35,5,COMPLETE
75,0.07111795246601105,2026-07-06 20:15:27.649630,2026-07-06 20:15:38.628155,0 days 00:00:10.978525,256,128,0.30916612724672404,8,4,0.23987295824231106,31,0.0046124133446263735,1,4,8,1,35,5,COMPLETE
76,0.1275462806224823,2026-07-06 20:15:38.644418,2026-07-06 20:15:45.447058,0 days 00:00:06.802640,256,32,0.2171952890859626,16,2,0.26833922664441134,31,0.009916720640264321,1,4,2,1,180,3,PRUNED
77,0.08148909360170364,2026-07-06 20:15:45.461738,2026-07-06 20:16:04.739836,0 days 00:00:19.278098,64,32,0.24574661686518848,8,2,0.21724514931905087,31,0.001423604826689286,1,4,8,1,35,7,COMPLETE
78,0.0707601010799408,2026-07-06 20:16:04.757536,2026-07-06 20:16:14.437290,0 days 00:00:09.679754,256,32,0.3455344596833699,8,2,0.3297867943340741,31,0.0024513009111309567,1,16,8,1,35,5,COMPLETE
79,,2026-07-06 20:16:14.454711,2026-07-06 20:16:17.625864,0 days 00:00:03.171153,512,32,0.17216498423578278,8,1,0.3586166690503372,13,0.00360477425571886,1,4,4,0,70,5,PRUNED
