number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_event_dim,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
0,0.07732447236776352,2026-07-06 19:47:56.424791,2026-07-06 19:48:22.274829,0 days 00:00:25.850038,64,64,0.291852008161989,16,3,0.23815673679605814,27,0.00035763762396944974,1,4,4,1,35,7,COMPLETE
1,0.08904199302196503,2026-07-06 19:48:22.301355,2026-07-06 19:56:04.230732,0 days 00:07:41.929377,256,256,0.03191824943020566,4,2,0.20722058912687585,51,9.925050980411863e-05,3,16,2,0,180,7,COMPLETE
2,0.12452512979507446,2026-07-06 19:56:04.247844,2026-07-06 19:56:22.315425,0 days 00:00:18.067581,256,64,0.32427273968312137,16,4,0.17166330643098365,13,0.0007377546551050726,2,8,8,1,180,5,COMPLETE
3,inf,2026-07-06 19:56:22.334919,2026-07-06 19:59:11.555297,0 days 00:02:49.220378,512,256,0.2953483415211873,16,3,0.4272670540626873,13,0.0007906148915498253,2,16,8,1,180,3,COMPLETE
4,inf,2026-07-06 19:59:11.636663,2026-07-06 19:59:48.860432,0 days 00:00:37.223769,512,64,0.47008273374161524,4,1,0.035242694984015666,51,0.0009286704262430221,3,16,4,0,70,3,COMPLETE
5,0.12559249997138977,2026-07-06 19:59:48.885832,2026-07-06 20:01:05.308077,0 days 00:01:16.422245,256,256,0.4378021490975351,4,4,0.13137477466781855,51,0.0009054380723412238,3,4,4,0,70,7,COMPLETE
6,0.07650142908096313,2026-07-06 20:01:05.325158,2026-07-06 20:01:32.592761,0 days 00:00:27.267603,128,32,0.25497861028142726,16,3,0.4446755337497178,51,0.0001600770512713601,2,32,8,1,22,3,COMPLETE
7,0.3416665494441986,2026-07-06 20:01:32.616719,2026-07-06 20:01:45.746275,0 days 00:00:13.129556,128,64,0.3232662591190832,16,3,0.4396666605099492,13,0.001863698341070448,2,32,2,0,22,3,COMPLETE
8,0.07589574158191681,2026-07-06 20:01:45.762378,2026-07-06 20:01:55.408061,0 days 00:00:09.645683,256,32,0.23462532858725177,8,2,0.3815139085978967,13,0.00946258171025473,3,4,8,1,35,3,COMPLETE
9,0.12875960767269135,2026-07-06 20:01:55.430713,2026-07-06 20:03:39.726192,0 days 00:01:44.295479,64,64,0.27665085749245855,16,1,0.2620563502924998,51,2.6086556927336422e-05,3,16,8,1,180,7,COMPLETE
10,0.06986023485660553,2026-07-06 20:03:39.746545,2026-07-06 20:03:47.923735,0 days 00:00:08.177190,256,32,0.06574214397202527,8,2,0.33503118022506473,31,0.005094586577780977,1,4,8,1,35,5,COMPLETE
11,0.06685540825128555,2026-07-06 20:03:47.947461,2026-07-06 20:03:56.304734,0 days 00:00:08.357273,256,32,0.056139063224210126,8,2,0.3118172471807479,31,0.009947202883702955,1,4,8,1,35,5,COMPLETE
12,0.06705079972743988,2026-07-06 20:03:56.328093,2026-07-06 20:04:03.961711,0 days 00:00:07.633618,256,32,0.03604989325668517,8,2,0.34278344096249874,31,0.0090823896469961,1,4,8,1,35,5,COMPLETE
13,0.07760760933160782,2026-07-06 20:04:03.980335,2026-07-06 20:04:12.199905,0 days 00:00:08.219570,256,128,0.11728834526283577,8,2,0.30568660246648816,31,0.003509139420994816,1,4,8,1,35,5,COMPLETE
14,0.07908429950475693,2026-07-06 20:04:12.216692,2026-07-06 20:04:21.541430,0 days 00:00:09.324738,256,32,0.14026310501420922,8,1,0.34702415574213324,31,0.00844651302426881,1,8,8,1,35,5,COMPLETE
15,0.07174237817525864,2026-07-06 20:04:21.557545,2026-07-06 20:04:30.720309,0 days 00:00:09.162764,256,32,0.0027914204727101655,8,2,0.2686456258318307,31,0.002942093700942343,1,4,2,1,35,5,COMPLETE
16,0.07491855323314667,2026-07-06 20:04:30.737238,2026-07-06 20:04:57.991787,0 days 00:00:27.254549,64,128,0.15775047550246302,8,1,0.4862973614933846,31,0.00912600385455437,1,4,8,1,35,5,COMPLETE
17,0.08380857110023499,2026-07-06 20:04:58.008628,2026-07-06 20:05:09.200986,0 days 00:00:11.192358,128,32,0.08446164277797785,8,2,0.11578732050150042,27,0.0025352345836525945,1,4,8,1,35,5,COMPLETE
18,,2026-07-06 20:05:09.217908,2026-07-06 20:05:12.518754,0 days 00:00:03.300846,512,32,0.2073327187919844,8,3,0.38054112710673393,31,0.0050876915937343595,2,8,4,0,22,5,PRUNED
19,0.16115906834602356,2026-07-06 20:05:12.538812,2026-07-06 20:05:16.819303,0 days 00:00:04.280491,256,32,0.06252525001874551,8,2,0.2988745978203044,31,1.6578379975329097e-05,1,32,2,1,70,5,PRUNED
20,0.07894939929246902,2026-07-06 20:05:16.834950,2026-07-06 20:05:26.948605,0 days 00:00:10.113655,256,128,0.01008971208161475,8,1,0.0005803251703739021,31,0.001513752280389978,2,4,8,1,35,5,COMPLETE
21,0.07052019983530045,2026-07-06 20:05:26.964861,2026-07-06 20:05:35.651447,0 days 00:00:08.686586,256,32,0.07740106057142526,8,2,0.33465717721530186,31,0.004608077468300777,1,4,8,1,35,5,COMPLETE
22,0.06947290152311325,2026-07-06 20:05:35.674160,2026-07-06 20:05:44.192264,0 days 00:00:08.518104,256,32,0.1742117464548031,8,2,0.37092670964009,31,0.005761649034494622,1,4,8,1,35,5,COMPLETE
23,0.06914659589529037,2026-07-06 20:05:44.209452,2026-07-06 20:05:51.772379,0 days 00:00:07.562927,256,32,0.189835830677217,8,2,0.38658097281352743,31,0.005904723235640204,1,4,8,1,35,5,COMPLETE
24,0.07481557875871658,2026-07-06 20:05:51.789174,2026-07-06 20:06:04.604641,0 days 00:00:12.815467,256,32,0.39425765596779794,8,3,0.4110063934194381,27,0.0017371794550791316,1,4,8,1,35,5,COMPLETE
25,0.07814633101224899,2026-07-06 20:06:04.622041,2026-07-06 20:06:12.457089,0 days 00:00:07.835048,256,32,0.1098318131283299,4,2,0.49989762181185227,31,0.009494358498936702,1,4,8,1,35,5,COMPLETE
26,,2026-07-06 20:06:12.474094,2026-07-06 20:06:15.323033,0 days 00:00:02.848939,512,32,0.20754488975415153,8,1,0.2984563037478452,31,0.002674885842538657,1,4,8,0,35,5,PRUNED
