date,Y_h,fitted,residual,split
2010-02-03,-1.5771202588032536,-1.194718803785461,-0.38240145501779255,train
2010-02-04,-1.0848791490017948,-1.2618244864172732,0.17694533741547835,train
2010-02-05,-0.2169272101107193,-1.1634302251663444,0.9465030150556251,train
2010-02-08,-0.972207497693055,-0.8437410899559893,-0.12846640773706575,train
2010-02-09,-0.3228717382115641,-1.0125920524363674,0.6897203142248033,train
2010-02-10,-0.6534752400895996,-0.7844691448237289,0.1309939047341293,train
2010-02-11,-0.7018885047647583,-0.784802323258583,0.08291381849382473,train
2010-02-12,-0.4351608736636141,-0.756327159916854,0.32116628625323984,train
2010-02-15,-1.7627265681543969,-0.7050297394535384,-1.0576968287008586,train
2010-02-16,-0.981429770181002,-1.1081660664138409,0.12673629623283889,train
2010-02-17,-0.9803658296898666,-0.9755124022466782,-0.004853427443188396,train
2010-02-18,-0.3684243044120426,-0.9850929246088866,0.6166686201968441,train
2010-02-19,-0.4844783961475122,-0.7869839313651043,0.30250553521759205,train
2010-02-22,-1.0137533799135086,-0.7998043231521524,-0.21394905676135612,train
2010-02-23,-0.6748338119039624,-0.890885036199609,0.2160512242956466,train
2010-02-24,-0.8431206588984355,-0.779588893587108,-0.06353176531132743,train
2010-02-25,-0.7076642640675714,-0.8298150214626461,0.12215075739507464,train
2010-02-26,-0.7346540386335033,-0.7953476099065405,0.060693571273037206,train
2010-03-01,-0.2784447481659347,-0.8264220325326477,0.547977284366713,train
2010-03-02,-0.3381297134283873,-0.642789693639495,0.3046599802111077,train
2010-03-03,-0.6993938246340422,-0.6129093137144686,-0.08648451091957365,train
2010-03-04,-0.825997234803297,-0.7021898361406103,-0.12380739866268675,train
2010-03-05,-1.114325568904707,-0.7881322697185906,-0.3261932991861163,train
2010-03-08,-1.3942464782589363,-0.8992073628404955,-0.4950391154184408,train
2010-03-09,-1.3120665596413317,-1.0010787678233881,-0.31098779181794356,train
2010-03-10,-1.3517409672363834,-1.0785927561429722,-0.27314821109341114,train
2010-03-11,-1.1851007029219784,-1.1342581105185803,-0.05084259240339817,train
