horizon,split,MSE,MAE,QLIKE
1,train,0.20267510151432022,0.33418607042655696,0.12967284159924308
1,test,0.2882734562395765,0.4075118464810617,0.18482575813870394
5,train,0.0976723625876926,0.2409599795097423,0.053296479540455
5,test,0.13897119408933714,0.28920146211213654,0.0774723706524006
22,train,0.09830385679330628,0.2304992540777079,0.05881796707006739
22,test,0.12751949858995976,0.29090760299223584,0.06785774497836662
