,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.24713887414781796,0.06014897771260542,-4.108779293451318,3.977559715208589e-05,-0.36502870417142697,-0.12924904412420896
RV_d,0.13844600842627042,0.025237007090185757,5.48583308359531,4.115253421242756e-08,0.08898238345192434,0.1879096334006165
RV_dQ,0.04180440951885079,0.009562301225196001,4.371793832294162,1.232298632663051e-05,0.023062643508143393,0.06054617552955818
RV_w,0.299227804184553,0.05971451523034345,5.010972676078978,5.415560455463001e-07,0.18218950497881134,0.4162661033902947
RV_m,0.40153374928352065,0.11012554119771147,3.6461455255201503,0.0002662032591704632,0.1856916547580242,0.6173758438090171
