,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.09996380557120345,0.01890548954973845,-5.2875544591537125,1.2396246172910138e-07,-0.13701788419878919,-0.06290972694361772
RV_d,0.3198888317322803,0.022336530277782252,14.321330473178637,1.6101091741488478e-46,0.2761100368482386,0.36366762661632196
RV_dQ,0.07437238723650007,0.008696972947223644,8.551525650110495,1.2147207326368336e-17,0.05732663348542256,0.09141814098757758
RV_w,0.399818205502989,0.03854637728433503,10.372393819366062,3.311241552953027e-25,0.32426869429119953,0.4753677167147785
RV_m,0.21972819959885076,0.03458824336342412,6.352684560766268,2.1158932349246825e-10,0.15193648831803294,0.28751991087966855
