,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.13520754296546036,0.027008017956223655,-5.006200128591943,5.551503839991014e-07,-0.1881422854534698,-0.08227280047745092
RV_d,0.2075121512908953,0.01785727763011283,11.620592768349324,3.2388121649284657e-31,0.1725125302739414,0.24251177230784923
RV_dQ,0.051604162869701306,0.006357489754014184,8.1170658335891,4.77589724648148e-16,0.0391437119197511,0.0640646138196515
RV_w,0.3932367312586255,0.05802932766240435,6.776517100910564,1.2310749579550023e-11,0.2795013389932391,0.5069721235240119
RV_m,0.31317750648081066,0.06434388260835855,4.867246019128593,1.1316412201928077e-06,0.18706581394295477,0.4392891990186666
