number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
28,0.09842510521411896,2026-07-06 17:47:10.460841,2026-07-06 17:47:15.548414,0 days 00:00:05.087573,256,256,0.3277290005831943,1,0.0002909373198785592,51,0.00035991683505658443,1,32,8,1,22,3,COMPLETE
29,0.09138591587543488,2026-07-06 17:47:15.565024,2026-07-06 17:47:48.891644,0 days 00:00:33.326620,64,64,0.4566122606740748,3,0.16704297367914647,27,0.0008188965686005153,1,4,2,1,22,7,COMPLETE
30,0.094105064868927,2026-07-06 17:47:48.908253,2026-07-06 17:48:22.469683,0 days 00:00:33.561430,64,32,0.2776644144538803,2,0.2794794450337952,51,0.00032874239396635073,2,16,8,1,22,7,COMPLETE
31,0.08961982280015945,2026-07-06 17:48:22.488793,2026-07-06 17:48:55.403431,0 days 00:00:32.914638,64,32,0.4356379190755369,2,0.18041312932812972,51,0.000137916317299503,1,16,8,1,22,3,COMPLETE
32,0.08950544148683548,2026-07-06 17:48:55.420497,2026-07-06 17:49:28.335644,0 days 00:00:32.915147,64,32,0.39063087330495605,2,0.23046137888107232,51,0.0001288524513766388,1,16,8,1,22,3,COMPLETE
33,0.10779041796922684,2026-07-06 17:49:28.360292,2026-07-06 17:49:34.793307,0 days 00:00:06.433015,64,32,0.387355417269045,2,0.08919759597513455,51,0.00012224484156971526,1,16,8,1,70,3,PRUNED
34,0.09611814469099045,2026-07-06 17:49:34.810472,2026-07-06 17:50:01.786303,0 days 00:00:26.975831,64,32,0.3386291996417953,3,0.233250968995178,51,6.303106143033457e-05,1,16,4,1,22,3,PRUNED
35,,2026-07-06 17:50:01.809689,2026-07-06 17:50:04.295751,0 days 00:00:02.486062,512,32,0.31092869410063606,2,0.18398557258431852,31,3.593438247056222e-05,1,16,8,1,70,7,PRUNED
36,0.09337760508060455,2026-07-06 17:50:04.314194,2026-07-06 17:50:21.513464,0 days 00:00:17.199270,64,32,0.3965155560710995,2,0.27891870005129027,27,0.00014856902599430014,1,16,4,1,22,3,COMPLETE
37,0.08799947053194046,2026-07-06 17:50:21.530289,2026-07-06 17:50:36.105662,0 days 00:00:14.575373,256,128,0.46675519307362745,3,0.15370048808490222,51,0.00029133433846483876,1,8,8,1,22,3,COMPLETE
38,2.796225070953369,2026-07-06 17:50:36.130607,2026-07-06 17:50:41.667341,0 days 00:00:05.536734,256,128,0.36455949627560436,3,0.1556177443001859,31,1.8250061872971054e-05,1,8,2,0,180,3,PRUNED
39,0.1479111611843109,2026-07-06 17:50:41.685485,2026-07-06 17:50:44.819395,0 days 00:00:03.133910,256,128,0.4821247922733295,4,0.10915851630519799,51,0.0003240476520090712,1,8,8,1,22,7,PRUNED
40,0.37838858366012573,2026-07-06 17:50:44.838295,2026-07-06 17:50:49.007376,0 days 00:00:04.169081,256,128,0.39922007786578817,3,0.0696836392310117,27,5.586440073592809e-05,2,8,4,0,70,3,PRUNED
41,0.09390928596258163,2026-07-06 17:50:49.023114,2026-07-06 17:50:56.703005,0 days 00:00:07.679891,128,128,0.44304218226052994,2,0.19743723151667342,51,0.0005363146626648759,1,8,8,1,22,3,COMPLETE
42,0.09771391749382019,2026-07-06 17:50:56.721196,2026-07-06 17:51:06.857554,0 days 00:00:10.136358,256,128,0.47129872626036345,2,0.2273937062059871,51,0.0009508692218524136,1,8,8,1,22,3,PRUNED
43,0.13795453310012817,2026-07-06 17:51:06.876478,2026-07-06 17:51:13.050519,0 days 00:00:06.174041,128,256,0.4402575264350545,3,0.14313277660638332,51,0.0002704852985626837,1,8,8,1,180,3,PRUNED
44,0.08525599539279938,2026-07-06 17:51:13.069255,2026-07-06 17:51:23.401822,0 days 00:00:10.332567,256,128,0.4744918542935045,1,0.16435589854180058,13,9.048320833685613e-05,1,16,8,1,22,3,COMPLETE
45,0.7604607343673706,2026-07-06 17:51:23.426721,2026-07-06 17:51:26.392827,0 days 00:00:02.966106,256,128,0.4745473122321918,1,0.12470628029896424,13,9.070757787012871e-05,1,16,2,0,22,3,PRUNED
46,0.09097403287887573,2026-07-06 17:51:26.411650,2026-07-06 17:51:41.639954,0 days 00:00:15.228304,256,128,0.11716491296971449,1,0.16535270924046389,13,0.00012968426551090805,3,32,8,1,22,3,COMPLETE
47,0.11522777378559113,2026-07-06 17:51:41.664884,2026-07-06 17:51:44.667787,0 days 00:00:03.002903,256,128,0.4982223873243208,4,0.0733406286486282,13,2.517167779067534e-05,1,4,8,1,22,3,PRUNED
48,0.4144209325313568,2026-07-06 17:51:44.682301,2026-07-06 17:51:47.491313,0 days 00:00:02.809012,256,128,0.35360766282835315,1,0.21097217001450727,13,8.394842750926229e-05,1,16,8,0,180,7,PRUNED
49,0.1102663204073906,2026-07-06 17:51:47.505909,2026-07-06 17:51:50.357179,0 days 00:00:02.851270,256,64,0.4088249068053898,1,0.12653207458227028,13,4.660824954083241e-05,1,8,4,1,22,3,PRUNED
