number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_head_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_pct_start,params_revin,params_seq_len,user_attrs_best_epoch,user_attrs_setting,state
0,0.21623971064885458,2026-07-06 15:28:38.277108,2026-07-06 15:28:54.553406,0 days 00:00:16.276298,128,True,0.39215506607056133,0.04844719796243041,32,0.0004828553942317002,2,0.28085809751582574,0,35,18.0,lstm_optuna_trial_0,COMPLETE
1,0.21561668813228607,2026-07-06 15:28:54.598884,2026-07-06 15:29:04.499048,0 days 00:00:09.900164,256,False,0.3360644675482562,0.3217424031718399,128,8.002134786698833e-05,1,0.1505270742248396,1,180,26.0,lstm_optuna_trial_1,COMPLETE
2,0.21305852135022482,2026-07-06 15:29:04.523339,2026-07-06 15:29:16.892305,0 days 00:00:12.368966,128,True,0.15257538606122972,0.15377173267570787,32,0.00014658802620363435,3,0.23289769949485928,0,70,26.0,lstm_optuna_trial_2,COMPLETE
3,inf,2026-07-06 15:29:16.916362,2026-07-06 15:29:24.382434,0 days 00:00:07.466072,512,True,0.3962473665578538,0.13706683887676363,32,0.00017855487144747845,2,0.3326505781930913,1,70,-1.0,lstm_optuna_trial_3,COMPLETE
4,0.20687593519687653,2026-07-06 15:29:24.399578,2026-07-06 15:29:37.700032,0 days 00:00:13.300454,128,True,0.4399684608973296,0.2480050259840607,32,0.0002476275636254163,3,0.4280008107793333,1,22,27.0,lstm_optuna_trial_4,COMPLETE
5,inf,2026-07-06 15:29:37.724230,2026-07-06 15:31:29.214391,0 days 00:01:51.490161,512,True,0.42899472392380444,0.14837012185162118,256,6.310149649514489e-05,3,0.1269927553156731,0,180,-1.0,lstm_optuna_trial_5,COMPLETE
6,0.2725937267144521,2026-07-06 15:31:29.231992,2026-07-06 15:31:39.710862,0 days 00:00:10.478870,128,True,0.43420585280412244,0.208209803005783,256,1.7789669149290467e-05,2,0.44494124192269113,1,70,0.0,lstm_optuna_trial_6,COMPLETE
7,0.23063546419143677,2026-07-06 15:31:39.727496,2026-07-06 15:31:50.466869,0 days 00:00:10.739373,64,False,0.36812940779127545,0.0638611079970961,128,0.0001788067761507069,2,0.4583891681688176,0,180,8.0,lstm_optuna_trial_7,COMPLETE
8,0.21565072664192744,2026-07-06 15:31:50.484121,2026-07-06 15:32:03.503073,0 days 00:00:13.018952,64,True,0.33572662936687375,0.2936292837896844,128,6.3557089537986e-05,1,0.39540253227193,1,22,16.0,lstm_optuna_trial_8,COMPLETE
9,0.2091051439444224,2026-07-06 15:32:03.519492,2026-07-06 15:32:07.572877,0 days 00:00:04.053385,128,True,0.1358804134928534,0.3148421311727019,64,0.00423460488896987,1,0.35122113640584396,1,22,4.0,lstm_optuna_trial_9,COMPLETE
10,0.19823963940143585,2026-07-06 15:32:07.588994,2026-07-06 15:32:11.345694,0 days 00:00:03.756700,256,False,0.037650630001660856,0.49994214061501474,64,0.00586645653525294,3,0.49721509489949134,1,22,5.0,lstm_optuna_trial_10,COMPLETE
11,0.19835875928401947,2026-07-06 15:32:11.370850,2026-07-06 15:32:15.957724,0 days 00:00:04.586874,256,False,0.0173219746102401,0.487202780010062,64,0.008105193228868199,3,0.49206205714598317,1,22,5.0,lstm_optuna_trial_11,COMPLETE
12,0.1985558271408081,2026-07-06 15:32:15.975058,2026-07-06 15:32:19.737020,0 days 00:00:03.761962,256,False,0.002127856357031846,0.49962639606848747,64,0.007204069971894059,3,0.4973653556581616,1,22,5.0,lstm_optuna_trial_12,COMPLETE
13,0.20326612889766693,2026-07-06 15:32:19.753043,2026-07-06 15:32:27.160994,0 days 00:00:07.407951,256,False,0.0010114091903027922,0.49695661369983635,64,0.0019178988033889338,3,0.4927439736944908,1,22,12.0,lstm_optuna_trial_13,COMPLETE
14,0.19671081006526947,2026-07-06 15:32:27.182560,2026-07-06 15:32:33.125478,0 days 00:00:05.942918,256,False,0.09653740278320369,0.4273648090742475,64,0.0016793226934656348,3,0.3881987518456841,1,35,12.0,lstm_optuna_trial_14,COMPLETE
15,0.19966775178909302,2026-07-06 15:32:33.149582,2026-07-06 15:32:39.244110,0 days 00:00:06.094528,256,False,0.10912414179259115,0.41082213953523505,64,0.00127852037140831,3,0.37769297600011653,1,35,12.0,lstm_optuna_trial_15,COMPLETE
16,0.22800831496715546,2026-07-06 15:32:39.262305,2026-07-06 15:32:41.337317,0 days 00:00:02.075012,256,False,0.218492595553762,0.41220171382054177,64,0.0017706673580304986,2,0.2552788012184045,1,35,,lstm_optuna_trial_16,PRUNED
17,0.18224400281906128,2026-07-06 15:32:41.354413,2026-07-06 15:32:49.836184,0 days 00:00:08.481771,256,False,0.07676573564165186,0.40397456078802163,64,0.000840108158564423,3,0.30908316790372015,1,35,25.0,lstm_optuna_trial_17,COMPLETE
18,0.7444950938224792,2026-07-06 15:32:49.861008,2026-07-06 15:32:52.113467,0 days 00:00:02.252459,256,False,0.23168835187184617,0.39384383416971513,64,0.0007397072896061254,2,0.30832996802951973,0,35,,lstm_optuna_trial_18,PRUNED
